id,category,capability,status,evidence_and_limit
S01,Sources and first deployment,Draft/save/detect/preflight/commit,Component,API and SQLite journeys pass; saving does not itself start runtime execution. Full external journey remains untested.
S02,Sources and first deployment,GitHub-connected repository selection,Component,Existing GitHub/`gh` integration and browser flow; no fresh private-provider login-to-deploy trial.
S03,Sources and first deployment,Raw HTTPS/SSH Git sources,Component,"Materialization, credentials, exact revision resolution, and source failures tested; not a live matrix of every Git provider."
S04,Sources and first deployment,Private mirrors and detached workspaces,Component,Source checkout and containment cases pass; submodules/LFS paths exist but were not exercised live here.
S05,Sources and first deployment,Local checkout,Component,Source adapter and planning coverage; remains a local-server workflow.
S06,Sources and first deployment,Existing container/stack adoption,Partial,Read-only inspection and observed ownership work in tests; adoption is not managed lifecycle takeover.
S07,Sources and first deployment,Image deployment,Live,Immutable image fixture resolves and activates; registry/provider/auth combinations are not exhaustively tested.
S08,Sources and first deployment,Compose text/upload/repository source,Live,Normalization plus mixed build/pull and activation fixtures pass; not arbitrary Compose compatibility or rolling stack deployment.
S09,Sources and first deployment,Automatic framework/port/file defaults,Partial,"SvelteKit, static/Vite port, and Containerfile defects reproduced; see F03–F05."
S10,Sources and first deployment,Quick setup → settings/wizard recovery,Partial,"Mocked browser recovery paths pass; success case flaky, and build-env handoff fails at execution without explicit mapping."
B01,Build and artifact handling,Automatic Node/npm recipe,Live,Real minimal npm fixture builds; not proof for arbitrary Next/Nuxt/monorepo/native-module applications.
B02,Build and artifact handling,pnpm/Yarn/Bun recipes,Component,Recipe selection/rendering and lockfile rules tested; no fresh full Docker build for each manager.
B03,Build and artifact handling,Go recipe,Partial,Fixed recipe exists; custom build/start commands are silently ignored. Fixed Go 1.25 base limits version control; F06.
B04,Build and artifact handling,Python recipe,Component,Requirements/uv/Poetry branches exist; explicit start command required. No fresh full Python application matrix.
B05,Build and artifact handling,PHP/Ruby/Java/.NET/Rust automation,Absent,No native automatic recipe found. These workloads can use their own Dockerfile or prebuilt image.
B06,Build and artifact handling,Custom Dockerfile,Live,"Real fixture succeeds; Containerfile automatic filename handoff is wrong, although an operator can correct it."
B07,Build and artifact handling,Static build and serving image,Partial,Builder's real fixture passes; default UI ports/checks can prevent deployment or target the wrong port.
B08,Build and artifact handling,Digest pinning and Compose overrides,Live,Built and pulled artifacts resolved to immutable references; release override used in live Compose fixture.
B09,Build and artifact handling,BuildKit secrets and redaction,Partial,Explicitly mapped secret mounts and layer checks pass. Build scope alone does not supply the variable to a recipe build; F03.
B10,Build and artifact handling,Build cache and force rebuild,Component,Cache controls exist; no performance claim or remote/shared-cache benchmark established.
B11,Build and artifact handling,Language/package-manager version selection,Partial,Fixed catalog bases rather than a broad operator-controlled/version-file contract. Pinning a resolved digest is not selecting the correct language version.
B12,Build and artifact handling,Remote builders and build scheduling across hosts,Absent,Current builder runs against the local Docker owner.
R01,"Execution, health, and recovery",Durable queue/run/step persistence,Component,"Runs persist before acceptance; leases, fencing, idempotency, and restart cases tested with controlled executors."
R02,"Execution, health, and recovery",Bounded concurrency and supersession,Component,"Heavy/light queues, per-environment exclusion, cancellation, retry, and stale-worker protection covered. No long-running fault-injection soak."
R03,"Execution, health, and recovery",Frozen configuration and release inputs,Component,"Source revision, config, variable revision references, dependency/check inputs, and artifact identity captured. External data remains mutable."
R04,"Execution, health, and recovery",HTTP/TCP/Docker/command/route checks,Live,All five check adapters exercised; external/public-route correctness remains unverified.
R05,"Execution, health, and recovery",Health-gated blue/green,Partial,Candidate and route mechanics tested; only eligible stateless proxy-owned HTTP workloads. No continuous-traffic proof of zero failed requests.
R06,"Execution, health, and recovery",Stop-first deployment,Live,Container/Compose fixtures and bounded stop behavior pass. Writable state/fixed ports/other incompatible plans entail downtime.
R07,"Execution, health, and recovery",Failed candidate compensation,Component,Prior runtime/route restoration and cancellation recovery tested; failed-build preservation also demonstrated live. Not a full power-loss matrix.
R08,"Execution, health, and recovery",Rollback and restart,Component,Historical artifact/config selection and restart semantics tested. No database/schema/filesystem rollback guarantee.
R09,"Execution, health, and recovery",Release tasks/migrations,Partial,Stored task execution and failure handling exist. Arbitrary migrations cannot be made reversible by app rollback.
R10,"Execution, health, and recovery",Retention and shared-artifact protection,Component,"Live release, retained successful releases, pins, active references, and shared digests protected by tests. No daemon-wide prune test on this host."
R11,"Execution, health, and recovery","Replica autoscaling, canary weights, regional failover",Absent,No complete controller found. Blue/green is not these features.
N01,"Domains, networking, and TLS",DNS/port/route/firewall preflight,Component,Availability and conflict logic covered; source review is not a full real-world NAT/DNS-provider compatibility test.
N02,"Domains, networking, and TLS",Share an eligible public Docker Caddy,Partial,"Existing sites, route restoration, certificate import, and ownership checks passed on retry; initial live failure remains unresolved."
N03,"Domains, networking, and TLS",Provision Caddy on a fresh topology,Live,Isolated provision/restart fixture passed. No fresh public domain issuance was performed.
N04,"Domains, networking, and TLS",Host nginx challenge webroot,Live,Real local nginx challenge route worked. Does not itself prove an ACME order or renewal.
N05,"Domains, networking, and TLS",Automatic public HTTPS,Partial,Certificate-before-candidate orchestration and supported issuance paths exist; public CA/network boundary untested in this audit.
N06,"Domains, networking, and TLS",Wildcard/DNS-01 and arbitrary existing proxies,Partial,Existing suitable certificates can be used. No general automated DNS-provider flow or takeover of arbitrary Traefik/Apache/custom topology.
N07,"Domains, networking, and TLS",Network recovery and address stability,Partial,Caddy maintenance/recreation repair tested; reconciliation can have a gap. Quick database URLs currently use observed bridge IPs; F09.
D01,"Variables, databases, and persistent data",Encrypted variable revisions and controlled reveal,Component,"Scoped variables, secret masking/reveal authorization, inert dotenv import, and audited mutation paths covered. Not an independent cryptographic audit."
D02,"Variables, databases, and persistent data",Variable references/dependency resolution,Component,"Typed references, missing-value failures, and cycle handling covered. Linked resource contents can change outside a snapshot."
D03,"Variables, databases, and persistent data",Five quick-setup database engines,Live,PostgreSQL/MySQL/MariaDB/Redis/MongoDB provisioning and app-container login pass. Eight dashboard admin drivers do not mean eight quick-deploy engines.
D04,"Variables, databases, and persistent data",Existing database linking,Partial,URL conversion/refusal rules tested; stable identity through recreation is not established. SQLite requires a shared-file arrangement.
D05,"Variables, databases, and persistent data",Bind mounts and named volumes,Partial,"Runtime mounts implemented; preview copies can reuse production sources, and backup coverage is incomplete."
D06,"Variables, databases, and persistent data",Backup-before-deploy and freshness policy,Partial,"Job execution/freshness and absolute-path coverage tested; named-volume false positive reproduced, Compose mounts not fully enumerated; F02."
D07,"Variables, databases, and persistent data",Verified restore requirement,Unavailable,"Gate explicitly receives `RestoreTested=false`; enabling the requirement blocks, rather than proving a restore."
D08,"Variables, databases, and persistent data",App-consistent database recovery/PITR,Absent,No complete deployment-integrated recovery/PITR workflow demonstrated; file archive success is insufficient.
D09,"Variables, databases, and persistent data",Preview secret/storage isolation,Partial,"Environment records and ownership are separated, but production secrets and writable mount source names are copied; F01."
A01,Automation and developer workflow,Automatic branch polling,Component,Eligible remote production branches checked every five seconds after the first explicit deployment; revision pinning/deduplication/audit tests pass. No fresh real-provider push trial.
A02,Automation and developer workflow,GitHub/GitLab/Bitbucket/Gitea signed hooks,Component,"Signature, delivery reservation, repository/ref/event checks, and duplicate prevention tested using synthetic deliveries. Provider setup and Internet delivery not demonstrated."
A03,Automation and developer workflow,Generic deploy hooks/API idempotency,Component,Scoped trigger and duplicate run prevention covered; endpoint still follows network policy.
A04,Automation and developer workflow,Monorepo roots and watch paths,Partial,"Root selection and hook watch filters exist. Branch polling does not apply those path filters, so they cannot globally suppress unrelated deployments."
A05,Automation and developer workflow,Scheduled deploy/restart/backup/commands,Component,"Timezone/DST, bounded chains, and required-step failure covered. Scheduled `game_command` is unavailable."
A06,Automation and developer workflow,PR preview lifecycle/quota/close,Partial,"Record/source/domain lifecycle tested; unsafe inheritance remains, and no provider-to-public-preview live journey was completed."
A07,Automation and developer workflow,Fork/PR author trust policy,Absent,"No author/collaborator approval boundary found in the preview trigger/event model. Signature verification authenticates delivery, not the safety of submitted code."
A08,Automation and developer workflow,Notifications,Partial,Signed outbound webhook delivery/history/retry handling exists. No turnkey Slack/Discord/email product flow established.
A09,Automation and developer workflow,"GitHub App installation, PR status/comments",Absent,Current GitHub connection and webhook handlers are not a full GitHub App developer workflow.
A10,Automation and developer workflow,Declarative deployment config/promotion/CLI,Absent,"Compose and APIs exist; no complete project GitOps reconciliation, environment promotion, or supported deployment CLI workflow found."
O01,"Operations, catalog, and platform scope",Fleet/workspace state and diagnostics,Component,"Actual runtime state separated from persisted release state; diagnoses, filters, silences, and bounded query counts tested."
O02,"Operations, catalog, and platform scope",Run logs/events/replay/metrics/comparison,Component,"Transcript/event handling, per-project run numbers, stage metrics, and secret-safe comparisons covered. Not a long-term removed-container log archive."
O03,"Operations, catalog, and platform scope",Browser settings/overview/lifecycle UI,Partial,Broad mocked API browser coverage; deployment success flake and overall gate failures disclosed above.
O04,"Operations, catalog, and platform scope",Archive and resource ownership,Component,Archive retains runtime/history and stops automation; managed/linked/observed semantics covered.
O05,"Operations, catalog, and platform scope",Managed removal and permanent record deletion,Component,"Plan digest/confirmation, resource exclusions, and archive/inactive requirements tested. Permanent purge intentionally retains host resources and forgets ownership."
O06,"Operations, catalog, and platform scope",Blueprint catalog,Unavailable,"17 catalog entries and pure rendering/validation exist, but `deploymentSupported:false` prevents operational deployment. Not 17 working one-click apps."
O07,"Operations, catalog, and platform scope",New game-server deployment,Unavailable,"Game/admin modules and blueprint inputs exist; catalog deployment blocked, scheduled game action unavailable, normalized UDP support incomplete."
O08,"Operations, catalog, and platform scope","Backend capabilities, audit, network/2FA policy",Component,"Existing route/security regression tests passed in Go. Shared root-equivalent server, not tenant isolation; preview issue requires separate attention."
O09,"Operations, catalog, and platform scope",Host tools next to deployments,Component,Existing Docker/files/logs/databases/proxy/backup/process/terminal modules are reused. This audit does not certify every host feature.
O10,"Operations, catalog, and platform scope",Teams/project-scoped roles and tenant isolation,Absent,Global server capabilities are not granular team/project access control.
O11,"Operations, catalog, and platform scope",Multi-server deployment placement,Absent,No complete remote execution/placement/reconciliation workflow found. Agent enrollment is groundwork only.
O12,"Operations, catalog, and platform scope",Reproducible release gate and fleet performance,Partial,"Required checks exist, but fresh browser/race results were not all green; no checked-in `.github` workflow was present. External CI was not assessed."
